dataset,file,layer,batch_id,request_class,address,bytes,producer_ready_cycle,enqueue_cycle,first_issue_cycle,completion_cycle
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,0,output,49399296,144384,297734,297734,2419784,2456754
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,1,output,49543680,144384,516881,516881,2421870,2458968
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,2,output,49688064,144384,737614,737614,2423686,2460840
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,3,output,49832448,144384,964616,964616,2425956,2462656
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,4,output,49976832,144384,1157040,1157040,2427772,2464926
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,5,output,50121216,144384,1385042,1385042,2429884,2466742
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,6,output,50265600,144384,1599369,1599369,2431858,2469012
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,7,output,50409984,144384,1803431,1803431,2433674,2470828
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,8,output,50554368,144384,2016099,2016099,2435944,2472644
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,9,output,50698752,144384,2206802,2206802,2437760,2474914
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,10,output,50843136,144384,2389216,2389216,2439984,2476730
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,11,output,50987520,115200,2498927,2498927,2498927,2500755
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-off_seed-1.json,1,0,output,1703424,212928,30913,30913,30913,34103
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,0,output,49399296,144384,119353,119353,697690,698278
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,1,output,49543680,144384,186349,186349,698254,698842
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,2,output,49688064,144384,248354,248354,698818,699406
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,3,output,49832448,144384,312374,312374,699382,699970
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,4,output,49976832,144384,367176,367176,699946,700534
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,5,output,50121216,144384,434504,434504,700510,701098
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,6,output,50265600,144384,494895,494895,701074,701662
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,7,output,50409984,144384,551997,551997,701638,702226
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,8,output,50554368,144384,614243,614243,702202,702790
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,9,output,50698752,144384,668192,668192,702766,703354
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,10,output,50843136,144384,718690,718690,718690,719266
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,11,output,50987520,115200,756042,756042,756042,756504
